,Position,Player,Votes,Year
0,C,Bob McAdoo,98325.0,1975
1,G,Walt Frazier,91621.0,1975
2,F,John Havlicek,87715.0,1975
3,C,Kareem Abdul-Jabbar,77832.0,1975
4,F,Rick Barry,60547.0,1975
5,G,Gail Goodrich,58986.0,1975
6,G,Earl Monroe,52637.0,1975
7,F,Elvin Hayes,52444.0,1975
8,F,Spencer Haywood,50302.0,1975
9,G,Tiny Archibald,46724.0,1975
10,F,Rick Barry,135471.0,1976
11,F,John Havlicek,135273.0,1976
12,C,Bob McAdoo,131729.0,1976
13,F,Elvin Hayes,124035.0,1976
14,G,Walt Frazier,118303.0,1976
15,F,Bob Dandridge,112093.0,1976
16,G,Brian Winters,108863.0,1976
17,C,Kareem Abdul-Jabbar,101932.0,1976
18,G,Tiny Archibald,98772.0,1976
19,G,Dave Bing,75836.0,1976
20,F,David Thompson,319047.0,1977
21,F,Julius Erving,310517.0,1977
22,C,Bob McAdoo,277943.0,1977
23,F,George McGinnis,244829.0,1977
24,G,Pete Maravich,235541.0,1977
25,C,Dan Issel,182585.0,1977
26,F,Rick Barry,179453.0,1977
27,G,Paul Westphal,163173.0,1977
28,G,Norm Van Lier,134411.0,1977
29,G,Doug Collins,125173.0,1977
30,F,Julius Erving,396503.0,1978
31,G,David Thompson,321454.0,1978
32,G,Pete Maravich,309987.0,1978
33,F,Maurice Lucas,307461.0,1978
34,C,Bill Walton,286995.0,1978
35,G,Paul Westphal,264006.0,1978
36,F,Larry Kenon,229322.0,1978
37,F,Rick Barry,228413.0,1978
38,C,Dave Cowens,222109.0,1978
39,G,Doug Collins,216085.0,1978
40,G,George Gervin,427540.0,1979
41,F,Julius Erving,343161.0,1979
42,G,David Thompson,321681.0,1979
43,C,Kareem Abdul-Jabbar,298480.0,1979
44,F,Marques Johnson,282063.0,1979
45,F,George McGinnis,264076.0,1979
46,G,Pete Maravich,252793.0,1979
47,G,Paul Westphal,251829.0,1979
48,F,Rudy Tomjanovich,218808.0,1979
49,C,Moses Malone,202490.0,1979
50,G,George Gervin,286463.0,1980
51,C,Kareem Abdul-Jabbar,201621.0,1980
52,G,Magic Johnson,185754.0,1980
53,C,Moses Malone,184410.0,1980
54,F,Julius Erving,180160.0,1980
55,F,Marques Johnson,158253.0,1980
56,G,World B. Free,155836.0,1980
57,G,Eddie Johnson,149678.0,1980
58,F,Adrian Dantley,145724.0,1980
59,F,John Drew,133317.0,1980
60,F,Julius Erving,304600.0,1981
61,C,Kareem Abdul-Jabbar,265200.0,1981
62,G,Eddie Johnson,258862.0,1981
63,F,Adrian Dantley,256837.0,1981
